station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:20
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:20
054 Providence - Ovalie,0,8,8,2022,01-15,21:20
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:20
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:20
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:20
059 Sud De France,1,7,8,2022,01-15,21:20
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,21:25
002 Comédie,11,13,24,2022,01-15,21:25
003 Esplanade,1,31,32,2022,01-15,21:25
004 Hôtel de Ville,6,10,16,2022,01-15,21:25
005 Corum,7,5,12,2022,01-15,21:25
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:25
007 Foch,1,7,8,2022,01-15,21:25
008 Halles Castellane,4,8,12,2022,01-15,21:25
009 Observatoire,1,7,8,2022,01-15,21:25
010 Rondelet,4,12,16,2022,01-15,21:25
011 Plan Cabanes,6,6,12,2022,01-15,21:25
012 Boutonnet,4,8,12,2022,01-15,21:25
013 Emile Combes,6,2,8,2022,01-15,21:25
014 Beaux-Arts,6,2,8,2022,01-15,21:25
015 Les Aubes,7,1,8,2022,01-15,21:25
016 Antigone centre,8,8,16,2022,01-15,21:25
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:25
018 Nombre d'Or,8,8,16,2022,01-15,21:25
019 Louis Blanc,3,13,16,2022,01-15,21:25
020 Gambetta,1,7,8,2022,01-15,21:25
021 Port Marianne,13,3,16,2022,01-15,21:25
022 Clemenceau,0,12,12,2022,01-15,21:25
023 Les Arceaux,7,9,16,2022,01-15,21:25
024 Cité Mion,3,5,8,2022,01-15,21:25
025 Nouveau Saint-Roch,3,5,8,2022,01-15,21:25
026 Renouvier,3,5,8,2022,01-15,21:25
027 Odysseum,5,3,8,2022,01-15,21:25
028 Saint-Denis,4,4,8,2022,01-15,21:25
029 Richter,12,4,16,2022,01-15,21:25
030 Charles Flahault,3,5,8,2022,01-15,21:25
031 Voltaire,6,2,8,2022,01-15,21:25
032 Prés d'Arènes,8,0,8,2022,01-15,21:25
033 Garcia Lorca,7,1,8,2022,01-15,21:25
034 Vert Bois,0,16,16,2022,01-15,21:25
035 Malbosc,4,4,8,2022,01-15,21:25
036 Occitanie,1,31,32,2022,01-15,21:25
037 FacdesSciences,4,20,24,2022,01-15,21:25
038 Fac de Lettres,0,16,16,2022,01-15,21:25
039 Aiguelongue,8,0,8,2022,01-15,21:25
040 Jeu de Mail des Abbés,6,2,8,2022,01-15,21:25
041 Euromédecine,3,5,8,2022,01-15,21:25
042 Marie Caizergues,0,8,8,2022,01-15,21:25
043 Sabines,6,2,8,2022,01-15,21:25
044 Celleneuve,6,2,8,2022,01-15,21:25
045 Jardin de la Lironde,4,4,8,2022,01-15,21:25
046 Père Soulas,3,5,8,2022,01-15,21:25
047 Place Viala,7,1,8,2022,01-15,21:25
048 Hôtel du Département,2,6,8,2022,01-15,21:25
049 Tonnelles,1,7,8,2022,01-15,21:25
050 Parvis Jules Ferry - Gare Saint-Roch,4,4,8,2022,01-15,21:25
051 Pont de Lattes - Gare Saint-Roch,7,5,12,2022,01-15,21:25
053 Deux Ponts - Gare Saint-Roch,3,5,8,2022,01-15,21:25
054 Providence - Ovalie,0,8,8,2022,01-15,21:25
055 Pérols Etang de l'Or,23,45,68,2022,01-15,21:25
056 Albert 1er - Cathédrale,1,11,12,2022,01-15,21:25
057 Saint-Guilhem - Courreau,5,3,8,2022,01-15,21:25
059 Sud De France,1,7,8,2022,01-15,21:25
station_name,taken_vmag_space,free_vmag_space,total_vmag_space,year,day&month,hour&min
001 Rue Jules Ferry - Gare Saint-Roch,5,7,12,2022,01-15,21:30
002 Comédie,9,15,24,2022,01-15,21:30
003 Esplanade,1,31,32,2022,01-15,21:30
004 Hôtel de Ville,6,10,16,2022,01-15,21:30
005 Corum,7,5,12,2022,01-15,21:30
006 Place Albert 1er - St Charles,11,20,31,2022,01-15,21:30
007 Foch,1,7,8,2022,01-15,21:30
008 Halles Castellane,4,8,12,2022,01-15,21:30
009 Observatoire,2,6,8,2022,01-15,21:30
010 Rondelet,4,12,16,2022,01-15,21:30
011 Plan Cabanes,6,6,12,2022,01-15,21:30
012 Boutonnet,4,8,12,2022,01-15,21:30
013 Emile Combes,6,2,8,2022,01-15,21:30
014 Beaux-Arts,6,2,8,2022,01-15,21:30
015 Les Aubes,7,1,8,2022,01-15,21:30
016 Antigone centre,8,8,16,2022,01-15,21:30
017 Médiathèque Emile Zola,7,9,16,2022,01-15,21:30
018 Nombre d'Or,8,8,16,2022,01-15,21:30
019 Louis Blanc,3,13,16,2022,01-15,21:30
020 Gambetta,1,7,8,2022,01-15,21:30
021 Port Marianne,13,3,16,2022,01-15,21:30
022 Clemenceau,0,12,12,2022,01-15,21:30
023 Les Arceaux,7,9,16,2022,01-15,21:30
024 Cité Mion,3,5,8,2022,01-15,21:30
025 Nouveau Saint-Roch,4,4,8,2022,01-15,21:30
026 Renouvier,3,5,8,2022,01-15,21:30
027 Odysseum,5,3,8,2022,01-15,21:30
028 Saint-Denis,4,4,8,2022,01-15,21:30
029 Richter,12,4,16,2022,01-15,21:30
030 Charles Flahault,3,5,8,2022,01-15,21:30
031 Voltaire,6,2,8,2022,01-15,21:30
032 Prés d'Arènes,8,0,8,2022,01-15,21:30
033 Garcia Lorca,7,1,8,2022,01-15,21:30
